feature,pearson_corr,pearson_p,spearman_corr,spearman_p,abs_spearman
Z,-0.04377088743291504,3.2527405409870114e-09,-0.0576840175920267,6.080168554645574e-15,0.0576840175920267
A,-0.04100081491005676,2.9659326308132745e-08,0.05234125132363449,1.4564519387837165e-12,0.05234125132363449
N,0.03728862352859092,4.626954207254035e-07,0.06480759343459758,1.823228194227058e-18,0.06480759343459758
E,0.9734651938330245,0.0,0.9973673172101832,0.0,0.9973673172101832
Z_magic_prox,-0.04357009869607069,3.835603014798564e-09,-0.0576840175920267,6.080168554645574e-15,0.0576840175920267
N_magic_prox,0.04519483279207999,9.898821870728338e-10,0.0648091111972321,1.8199001323936743e-18,0.0648091111972321
Z_magic_dist,0.04377088743291502,3.2527405409870114e-09,0.0576840175920267,6.080168554645574e-15,0.0576840175920267
N_magic_dist,-0.037288623528590935,4.626954207254035e-07,-0.06481106458170709,1.8156256907724645e-18,0.06481106458170709
N_over_Z,-0.03688632775074718,6.140515711063656e-07,-0.02301163720803602,0.001868673323379993,0.02301163720803602
symmetry_energy,-0.14221972714441367,3.737431888521449e-83,-0.1536750865516391,6.22350882348285e-97,0.1536750865516391
mass_excess,0.04061954748679507,3.9775731126407255e-08,0.06135615331774117,1.042236008238554e-16,0.06135615331774117
