Z_physical,E_group,Yield_physical
23.0,0.000 MeV,8.548760000000001e-17
23.0,0.525 MeV,3.2122613333333337e-15
23.0,14.000 MeV,3.3417880000000003e-11
24.0,0.000 MeV,3.959461167700001e-12
24.0,0.525 MeV,7.534305203766666e-11
24.0,14.000 MeV,9.640073977333334e-08
25.0,0.000 MeV,1.5366459139398166e-09
25.0,0.525 MeV,2.011523903870147e-08
25.0,14.000 MeV,1.3794872044316668e-05
26.0,0.000 MeV,1.2721945517798969e-07
26.0,0.525 MeV,1.1353369205205336e-06
26.0,14.000 MeV,0.00030186022162133705
27.0,0.000 MeV,1.2592464667952468e-06
27.0,0.525 MeV,9.323043122518011e-06
27.0,14.000 MeV,0.0016928361197781
27.999999999999996,0.000 MeV,2.7128484654703036e-05
27.999999999999996,0.525 MeV,0.0001739211987215658
27.999999999999996,14.000 MeV,0.007042507923410451
29.0,0.000 MeV,0.000282101439514016
29.0,0.525 MeV,0.002422209480238437
29.0,14.000 MeV,0.025311484763164336
30.0,0.000 MeV,0.010959153579591135
30.0,0.525 MeV,0.03482767756158868
30.0,14.000 MeV,0.08062805046645707
31.000000000000004,0.000 MeV,0.11647299036927303
31.000000000000004,0.525 MeV,0.12578972649550352
31.000000000000004,14.000 MeV,0.24728732201612358
32.0,0.000 MeV,1.4048265206701624
32.0,0.525 MeV,0.5760499359048817
32.0,14.000 MeV,0.697424444752944
33.0,0.000 MeV,2.887602569946613
33.0,0.525 MeV,1.2050308698096872
33.0,14.000 MeV,1.9781099762203005
34.0,0.000 MeV,15.166851732182142
34.0,0.525 MeV,3.9858837725832807
34.0,14.000 MeV,3.785529720243302
35.0,0.000 MeV,23.89851376439028
35.0,0.525 MeV,6.510476345303953
35.0,14.000 MeV,6.289531087573388
35.0,3.000 MeV,6.3749999978980005
36.00000000000001,0.000 MeV,75.94328718324024
36.00000000000001,0.525 MeV,13.554324406021516
36.00000000000001,14.000 MeV,10.022232823753061
36.00000000000001,3.000 MeV,10.990000010075667
37.0,0.000 MeV,70.79016372978614
37.0,0.525 MeV,19.623949854880216
37.0,14.000 MeV,16.13768364362625
37.0,3.000 MeV,6.889999999846334
38.0,0.000 MeV,112.9650725510496
38.0,0.525 MeV,60.77319259887814
38.0,14.000 MeV,25.384154524693265
38.0,3.000 MeV,5.850000006223667
39.0,0.000 MeV,45.897722548694794
39.0,0.525 MeV,22.179755074730096
39.0,14.000 MeV,31.7971524100912
39.0,3.000 MeV,0.699999999693
40.0,0.000 MeV,78.32481659190854
40.0,0.525 MeV,16.555459509499862
40.0,14.000 MeV,22.853935952699274
41.0,0.000 MeV,22.540729555780636
41.0,0.525 MeV,7.179836381718035
41.0,14.000 MeV,11.597765364591504
42.0,0.000 MeV,13.692230249942167
42.0,0.525 MeV,4.040242253112372
42.0,14.000 MeV,6.532818226320525
43.0,0.000 MeV,0.9507876796628268
43.0,0.525 MeV,0.23241615334358248
43.0,14.000 MeV,3.9035713978043955
44.0,0.000 MeV,0.2596923021883354
44.0,0.525 MeV,0.10079452988691527
44.0,14.000 MeV,2.9249813491636707
45.0,0.000 MeV,0.023471106833351907
45.0,0.525 MeV,0.06926866356170422
45.0,14.000 MeV,2.6062944054569446
46.0,0.000 MeV,0.030007632234664048
46.0,0.525 MeV,0.09129777066751882
46.0,14.000 MeV,2.7346469827748368
46.99999999,0.000 MeV,0.035250673618584916
46.99999999,0.525 MeV,0.06986963349664134
46.99999999,14.000 MeV,2.892059814273569
47.0,0.000 MeV,0.02409999712966667
48.0,0.000 MeV,0.07723137826475525
48.0,0.525 MeV,0.11272431586484417
48.0,14.000 MeV,3.4029205439855876
48.0,14.300 MeV,0.49900000025300006
49.0,0.000 MeV,0.31878418271883857
49.0,0.525 MeV,0.4418559677509188
49.0,14.000 MeV,4.121368065985141
49.0,14.300 MeV,0.4549999988290001
50.0,0.000 MeV,8.266152309663239
50.0,0.525 MeV,5.230124323873386
50.0,14.000 MeV,7.226407225228888
51.0,0.000 MeV,34.19273791401304
51.0,0.525 MeV,13.54232420377908
51.0,14.000 MeV,12.04705867877321
51.0,3.000 MeV,2.7999999987720003
52.0,0.000 MeV,60.81952719753663
52.0,0.525 MeV,46.15182255156332
52.0,14.000 MeV,30.369187653013803
52.0,3.000 MeV,14.060000003455668
53.0,0.000 MeV,25.205950065490082
53.0,0.170 MeV,0.8000000005743334
53.0,0.525 MeV,25.75228952929172
53.0,14.000 MeV,36.020072412716516
53.0,2.000 MeV,2.130000000638667
53.0,3.000 MeV,14.000000006812668
53.0,4.000 MeV,1.9499999977570004
53.0,5.500 MeV,2.6499999974500006
53.0,6.300 MeV,2.969999998975
53.0,7.100 MeV,3.2700000016190005
53.0,8.100 MeV,2.690000001688334
54.0,0.000 MeV,62.39480102744024
54.0,0.170 MeV,0.4999999979303334
54.0,0.525 MeV,31.41692374287134
54.0,14.000 MeV,19.14629523365562
54.0,2.000 MeV,0.37999999816800006
54.0,3.000 MeV,16.470000001381003
54.0,4.000 MeV,0.4600000001683334
54.0,5.500 MeV,0.8899999987770002
54.0,6.300 MeV,0.8099999967766668
54.0,7.100 MeV,0.3900000008466667
55.0,0.000 MeV,31.536829360410344
55.0,0.525 MeV,15.277697556243444
55.0,14.000 MeV,12.06844118877609
55.0,3.000 MeV,10.499999988918669
56.00000000000001,0.000 MeV,43.171360769754294
56.00000000000001,0.525 MeV,15.109406942727336
56.00000000000001,14.000 MeV,9.87376297975724
56.00000000000001,3.000 MeV,9.570000005332336
57.00000000000001,0.000 MeV,18.38535500508193
57.00000000000001,0.525 MeV,7.262441972952462
57.00000000000001,14.000 MeV,6.579773674892606
57.00000000000001,3.000 MeV,1.8499999968756669
58.0,0.000 MeV,3.3121253817297833
58.0,0.525 MeV,3.6529880886549657
58.0,14.000 MeV,3.6317420786682972
59.0,0.000 MeV,1.0037552786161978
59.0,0.525 MeV,0.905268536461231
59.0,14.000 MeV,1.6507222460700137
60.0,0.000 MeV,0.4204030230633979
60.0,0.525 MeV,0.35425694973126043
60.0,14.000 MeV,0.6915251636251148
61.00000000000001,0.000 MeV,0.05351316168214228
61.00000000000001,0.525 MeV,0.05181005804447828
61.00000000000001,14.000 MeV,0.28408222946146294
62.00000000000001,0.000 MeV,0.010183802757262442
62.00000000000001,0.525 MeV,0.012967090224609576
62.00000000000001,14.000 MeV,0.10564416708004744
63.0,0.000 MeV,0.0005866438042939119
63.0,0.525 MeV,0.0010947768682288944
63.0,14.000 MeV,0.032650634208586195
64.0,0.000 MeV,3.081351879857833e-05
64.0,0.525 MeV,5.481243827362479e-05
64.0,14.000 MeV,0.008729884784736295
65.0,0.000 MeV,1.397316116184e-06
65.0,0.525 MeV,1.9012798244043335e-06
65.0,14.000 MeV,0.0020929063999393337
66.0,0.000 MeV,1.8241570112033335e-07
66.0,0.525 MeV,1.9388984679233335e-07
66.0,14.000 MeV,0.0005071039860801167
67.00000000000001,0.000 MeV,9.093680629566667e-09
67.00000000000001,0.525 MeV,1.3031091825166668e-08
67.00000000000001,14.000 MeV,0.00011944390551486668
68.0,0.000 MeV,4.033934467600001e-10
68.0,0.525 MeV,3.5727981623666674e-10
68.0,14.000 MeV,2.3409776723600005e-05
69.0,0.000 MeV,1.866090686666667e-12
69.0,0.525 MeV,8.316907266666668e-13
69.0,14.000 MeV,1.6282897002200003e-06
70.0,0.000 MeV,1.7786601866666666e-15
70.0,0.525 MeV,2.1630953333333335e-16
70.0,14.000 MeV,2.1334311361333334e-08
71.0,0.000 MeV,0.0
71.0,0.525 MeV,0.0
71.0,14.000 MeV,3.1021636666666674e-11
